[DEBUG] | 2025-02-17 14:50:37,793 | __main__ |   7184 | MainThread : Admin username inserted
[DEBUG] | 2025-02-17 14:50:43,492 | __main__ |  12884 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 14:50:43,728 | lib.user_auth |  13119 | MainThread : Login successful
[DEBUG] | 2025-02-17 14:50:43,728 | lib.qt_auth |  13119 | MainThread : Admin Login successful
[DEBUG] | 2025-02-17 14:53:23,992 | __main__ |   1968 | MainThread : Username inserted
[DEBUG] | 2025-02-17 14:53:31,202 | __main__ |   1325 | MainThread : Admin login
[DEBUG] | 2025-02-17 14:53:31,203 | __main__ |   1327 | MainThread : Password inserted
[DEBUG] | 2025-02-17 14:53:31,440 | lib.user_auth |   1564 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 14:53:31,440 | lib.qt_auth |   1564 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 14:53:39,088 | __main__ |   1258 | MainThread : Admin login
[DEBUG] | 2025-02-17 14:53:39,090 | __main__ |   1260 | MainThread : Password inserted
[DEBUG] | 2025-02-17 14:53:39,329 | lib.user_auth |   1498 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 14:53:39,329 | lib.qt_auth |   1498 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 14:53:39,513 | __main__ |   1683 | MainThread : Admin login
[DEBUG] | 2025-02-17 14:53:39,514 | __main__ |   1684 | MainThread : Password inserted
[DEBUG] | 2025-02-17 14:53:39,751 | lib.user_auth |   1921 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 14:53:39,751 | lib.qt_auth |   1921 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 14:53:39,756 | __main__ |   1925 | MainThread : Admin login
[DEBUG] | 2025-02-17 14:53:39,757 | __main__ |   1926 | MainThread : Password inserted
[DEBUG] | 2025-02-17 14:53:39,994 | lib.user_auth |   2163 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 14:53:39,994 | lib.qt_auth |   2163 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 14:53:39,998 | __main__ |   2167 | MainThread : Admin login
[DEBUG] | 2025-02-17 14:53:40,002 | __main__ |   2172 | MainThread : Password inserted
[DEBUG] | 2025-02-17 14:53:40,237 | lib.user_auth |   2407 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 14:53:40,237 | lib.qt_auth |   2407 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 14:53:41,121 | __main__ |   3290 | MainThread : Username inserted
[DEBUG] | 2025-02-17 14:54:31,057 | __main__ |   2542 | MainThread : Username inserted
[DEBUG] | 2025-02-17 14:54:32,992 | __main__ |   4477 | MainThread : Admin login
